continent,iso_country,iso_region,municipality,iata_code
EU,SE,SE-BD,Arvidsjaur,AJR
AS,CN,CN-15,Arxan,YIE
AF,ER,ER-DK,Asab,ASA
AF,NG,NG-DE,Asaba,ABB
AS,JP,JP-01,Asahikawa / Hokkaidō,AKJ
AS,IR,IR-06,Asalouyeh,PGU
AS,IR,IR-06,Asaloyeh,YEH
OC,WS,WS-VS,Asau,AAU
NA,US,US-NJ,Asbury Park,ARX
SA,BO,BO-S,Ascensión de Guarayos,ASC
AF,SH,SH-AC,Ascension Island,ASI
EU,CH,CH-TI,Ascona,ACO
OC,PG,PG-MPL,Aseki,AEK
NA,US,US-AR,Ash Flat,CKK
NA,US,US-NC,Asheville,AVL
EU,GB,GB-ENG,Ashford,LYM
AS,TM,TM-A,Ashgabat,ASB
NA,US,US-OR,Ashland,AHM
NA,US,US-WI,Ashland,ASX
NA,US,US-ND,Ashley,ASY
NA,US,US-OH,Ashtabula,JFN
AF,ER,ER-SK,Asmara,ASM
AS,ID,ID-PA,Asmat,EWE
AF,ET,ET-BE,Asosa,ASO
NA,US,US-CO,Aspen,ASE
SA,BR,BR-SP,Assis,AIF
AF,EG,EG-WAD,Assiut,ATZ
AS,KZ,KZ-AKM,Astana,TSE
NA,US,US-OR,Astoria,AST
EU,RU,RU-AST,Astrakhan,ASF
AS,ID,ID-LA,Astraksetra-Sumatra Island,AKQ
EU,GR,GR-81,Astypalaia Island,JTY
SA,PY,PY-11,Asunción,ASU
AF,EG,EG-ASN,Aswan,ASW
AS,ID,ID-NT,Atambua-Timor Island,ABU
AF,MR,MR-07,Atar,ATR
AS,TL,TL-DI,Atauro,AUT
AF,SD,SD-04,Atbara,ATB
AS,KZ,KZ-AKM,Atbasar,ATX
NA,US,US-GA,Athens,AHN
EU,GR,GR-A1,Athens,ATH
EU,GR,GR-A1,Athens,HEW
NA,US,US-TN,Athens,MMI
NA,US,US-OH,Athens/Albany,ATO
AF,TD,TD-BA,Ati,ATV
NA,CA,CA-ON,Atikokan,YIB
AS,ID,ID-PB,Atinjoe-Papua Island,TXM
OC,CK,CK-U-A,Atiu Island,AIU
NA,US,US-AK,Atka,AKB
OC,PG,PG-WPD,Atkamba Mission,ABP
NA,US,US-GA,Atlanta,ATL
NA,US,US-GA,Atlanta,FTY
NA,US,US-GA,Atlanta,PDK
NA,US,US-IA,Atlantic,AIO
NA,US,US-NJ,Atlantic City,ACY
NA,US,US-NJ,Atlantic City,AIY
NA,US,US-AK,Atmautluak,ATT
OC,SB,SB-ML,Atoifi,ATD
NA,US,US-AK,Atqasuk,ATK
NA,CA,CA-ON,Attawapiskat,YAT
AS,LA,LA-AT,Attopeu,AOU
NA,US,US-AK,Attu,ATU
NA,GL,GL-U-A,Attu,QGQ
AS,KZ,KZ-ATY,Atyrau,GUW
OC,PG,PG-MPL,Au,GRL
OC,PG,PG-MRL,Aua Island,AUI
